Number of distinct districts = 664

DISTRICT,NUMBER OF SUB DISTRICTS
Mainpuri,3
Malappuram,6
Malda,19
Malkangiri,8
Mamit,3
Mandi,18
Mandla,4
Mandsaur,5
Mandya,7
Mansa,3
Marigaon,5
Mathura,3
Mau,4
Mayurbhanj,28
Medak,44
Meerut,3
Mewat,4
Mirzapur,3
Moga,3
Mokokchung,1
Mon,5
Moradabad,2
Morbi,5
Morena,6
Mumbai,3
Mumbai Suburban,3
Mungeli,2
Munger,9
Murshidabad,32
Muzaffarnagar,4
Muzaffarpur,17
Mysuru,9
Nabarangapur,11
Nadia,22
Nagaon,10
Nagapattinam,8
Nagaur,9
Nagpur,15
Nainital,5
Nalanda,20
Nalbari,6
Nalgonda,45
Namakkal,5
Namsai,5
Nanded,16
Nandurbar,6
Narayanpur,1
Narmada,5
Narsinghpur,5
Nashik,15
Navsari,5
Nawada,15
Nayagarh,9
Neemuch,3
Nellore,40
New Delhi,2
Nizamabad,33
North 24 Parganas,46
North And Middle Andaman,2
North Cachar Hills,2
North Delhi,3
North East Delhi,3
North Goa,6
North Sikkim,1
North Tripura,6
North West Delhi,3
Nuapada,5
Osmanabad,8
Others,1
Pakur,6
Palakkad,5
Palamu,12
Palghar,8
Pali,8
Palwal,3
Panchkula,3
Panchmahals,7
Panipat,3
Panna,5
Papum Pare,6
Parbhani,9
Paschim Medinipur,44
Patan,7
Pathanamthitta,5
Pathankot,2
Patiala,4
Patna,25
Pauri Garhwal,6
Perambalur,4
Peren,3
Phek,1
Pilibhit,3
Pithoragarh,6
Porbandar,3
Prakasam,54
Pratapgarh,8
Puducherry,6
Pudukkottai,11
Pulwama,4
Punch,3
Pune,15
Purba Medinipur,42
Puri,15
Purnia,15
Puruliya,22
Rae Bareli,6
Raichur,6
Raigarh,25
Raipur,6
Raisen,7
Rajgarh,7
Rajkot,10
Rajnandgaon,10
Rajouri,7
Rajsamand,7
Ramanagar,4
Ramanathapuram,7
Ramban,2
Ramgarh,5
Rampur,5
Ranchi,16
Ratlam,5
Ratnagiri,9
Rayagada,10
Reasi,2
Rewa,7
Rewari,3
Ri Bhoi,2
Rohtak,2
Rohtas,18
Rudraprayag,2
Rupnagar,5
SAS Nagar (Mohali),3
Sabarkantha,8
Sagar,9
Saharanpur,4
Saharsa,10
Sahebganj,9
Saiha,2
Salem,9
Samastipur,20
Samba,1
Sambalpur,17
Sambhal,3
Sangli,10
Sangrur,6
Sant Kabir Nagar,3
Sant Ravidas Nagar,2
Saran,21
Satara,11
Satna,7
Sawai Madhopur,7
Sehore,4
Senapati,5
Seoni,6
Sepahijala,5
Seraikela-Kharsawan,8
Serchhip,3
Shahdol,4
Shaheed Bhagat Singh Nagar,3
Shahjahanpur,4
Shajapur,8
Shamli,2
Sheikhpura,6
Sheohar,4
Sheopur,3
Shimla,23
Shivamogga,7
Shivpuri,7
Shrawasti,2
Shupiyan,1
Siang,5
Sibsagar,6
Siddharthnagar,5
Sidhi,6
Sikar,6
Simdega,7
Sindhudurg,8
Singrauli,3
Sirmaur,18
Sirohi,5
Sirsa,4
Sitamarhi,17
Sitapur,5
Sivaganga,7
Siwan,20
Solan,13
Solapur,11
Sonapur,6
Sonbhadra,3
Sonipat,4
Sonitpur,7
South 24 Parganas,42
South Andaman,1
South Delhi,4
South Garo Hills,2
South Goa,8
South Sikkim,2
South Tripura,6
South West Delhi,6
South West Khasi Hills,1
Sri Muktsar Sahib,3
Srikakulam,37
Srinagar,2
Sukma,3
Sultanpur,3
Sundergarh,29
Supaul,11
Surajpur,6
Surat,10
Surendra Nagar,10
Surguja,5
Tamenglong,3
Tapi,5
Tarn Taran,3
Tawang,1
Tehri Garhwal,5
Thane,9
Thanjavur,8
The Dangs,4
The Nilgiris,6
Theni,5
Thiruvananthapuram,4
Thiruvarur,7
Thoothukkudi,9
Thoubal,3
Thrissur,5
Tikamgarh,5
Tinsukia,4
Tirap,1
Tiruchirappalli,9
Tirunelveli,13
Tiruppur,7
Tiruvallur,10
Tiruvannamalai,8
Tonk,7
Tuensang,2
Tumakuru,11
Udaipur,10
Udalguri,7
Udham Singh Nagar,5
Udhampur,4
Udupi,4
Ujjain,7
Ukhrul,5
Umaria,1
Una,9
Unakoti,3
Unnao,5
Upper Siang,3
Upper Subansiri,10
Uttar Bastar Kanker,7
Uttar Dinajpur,9
Uttara Kannada,13
Uttarkashi,4
Vadodara,8
Vaishali,16
Valsad,6
Varanasi,2
Vellore,9
Vidisha,7
Vijayapura,5
Villupuram,9
Virudhunagar,8
Visakhapatnam,41
Vizianagaram,34
Warangal,49
Wardha,8
Washim,6
Wayanad,3
West Champaran,18
West Delhi,3
West Garo Hills,8
West Godavari,46
West Kameng,3
West Khasi Hills,1
West Siang,14
West Sikkim,2
West Singhbhum,17
West Tripura,7
Wokha,3
Yadgir,3
Yamuna Nagar,2
Yavatmal,16
Zunheboto,5
